0.000000 7.000000 20.000000
0.010000 7.901175 15.957090
0.020000 9.240180 12.874152
0.030000 11.100433 10.553416
0.040000 13.605344 8.840854
0.050000 16.920267 7.623698
0.060000 21.254667 6.829122
0.070000 26.859442 6.427647
0.080000 34.009000 6.446725
0.090000 42.944044 7.006313
0.100000 53.718210 8.404051
0.110000 65.818234 11.311523
0.120000 77.315357 17.174126
0.130000 83.507566 28.634991
0.140000 77.331151 47.998640
0.150000 57.594461 70.358016
0.160000 35.699728 82.805851
0.170000 21.053577 80.909736
0.180000 13.260818 70.836954
0.190000 9.368130 58.628203
0.200000 7.458727 47.189812
0.210000 6.603098 37.480950
0.220000 6.382110 29.616518
0.230000 6.616957 23.405966
0.240000 7.248113 18.578345
0.250000 8.284008 14.869451
0.260000 9.780354 12.051845
0.270000 11.833415 9.942082
0.280000 14.579835 8.399747
0.290000 18.199064 7.324965
0.300000 22.914657 6.658199
0.310000 28.988226 6.386153
0.320000 36.692475 6.560690
0.330000 46.231588 7.346213
0.340000 57.534054 9.131797
0.350000 69.752282 12.783857
0.360000 80.213879 20.111598
0.370000 83.159376 34.033357
0.380000 72.076779 55.472064
0.390000 50.069046 75.990102
0.400000 30.055551 83.550190
0.410000 17.939396 78.182971
0.420000 11.696848 66.923715
0.430000 8.595696 54.771591
0.440000 7.095926 43.845499
0.450000 6.475944 34.742802
0.460000 6.414531 27.440993
0.470000 6.780136 21.708118
0.480000 7.538826 17.269749
0.490000 8.715685 13.871873
0.500000 10.379861 11.301102
0.510000 12.640505 9.388197
0.520000 15.647808 8.006099
0.530000 19.595525 7.067814
0.540000 24.720788 6.527696
0.550000 31.293332 6.390556
0.560000 39.576313 6.737437
0.570000 49.716781 7.788474
0.580000 61.467599 10.049985
0.590000 73.536471 14.634173
0.600000 82.348210 23.754058
0.610000 81.256147 40.318931
0.620000 65.554407 62.915671
0.630000 42.828567 80.138835
0.640000 25.292676 82.890888
0.650000 15.430933 74.860279
0.660000 10.447336 62.932465
0.670000 7.982869 51.046377
0.680000 6.821453 40.689263
0.690000 6.405623 32.188638
0.700000 6.491102 25.425158
0.710000 6.984559 20.141811
0.720000 7.873882 16.066815
0.730000 9.199385 12.958291
0.740000 11.043296 10.617218
0.750000 13.527823 8.888350
0.760000 16.817030 7.657769
0.770000 21.119042 6.851496
0.780000 26.683583 6.438713
0.790000 33.784679 6.444956
0.800000 42.665058 6.986805
0.810000 53.386740 8.355039
0.820000 65.460405 11.206435
0.830000 77.014093 16.956861
0.840000 83.440907 28.215690
0.850000 77.686106 47.360618
0.860000 58.230606 69.787842
0.870000 36.231504 82.636663
0.880000 21.363017 81.083325
0.890000 13.421180 71.150535
0.900000 9.450445 58.956560
0.910000 7.500769 47.482597
0.920000 6.622504 37.724717
0.930000 6.386828 29.812604
0.940000 6.610281 23.560666
0.950000 7.230884 18.698903
0.960000 8.255535 14.962537
0.970000 9.738775 12.123071
0.980000 11.775780 9.995908
0.990000 14.502068 8.439540
